Geo Point,Geo Shape,GEOID,LANDAREA,WATERAREA,Latitude,Longitude,Total Population,White Only Population,Non White Only Percentage,AREA_SQMI,Total Population Estimate,Total Population Margin of Error,Housing Unit Estimate,Housing Unit Margin of Error,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
"33.77224024770005, -118.17873800926331","{""coordinates"": [[[-118.181292, 33.771716999127754], [-118.180679, 33.773679999127786], [-118.180677, 33.775342999127766], [-118.176341, 33.77533799912772], [-118.17634, 33.77170999912777], [-118.176509, 33.77014099912777], [-118.176708, 33.76906599912783], [-118.178501, 33.76930599912779], [-118.181896, 33.76973899912784], [-118.181292, 33.771716999127754]]], ""type"": ""Polygon""}",6037576501,291373,0,33.7722391,-118.1787305,3094,948,69.3600293,0.112499698,2986,477,1546,148,0.9516,0.8771,0.6414,0.8997,0.9526
"33.77237575303771, -118.18675467916454","{""coordinates"": [[[-118.192381, 33.77534399912776], [-118.188314, 33.775339999127716], [-118.187011, 33.77533799912772], [-118.18502, 33.775341999127704], [-118.183038, 33.775342999127766], [-118.180677, 33.775342999127766], [-118.180679, 33.773679999127786], [-118.181292, 33.771716999127754], [-118.181896, 33.76973899912784], [-118.182078, 33.769138999127826], [-118.185031, 33.76929399912781], [-118.187013, 33.769292999127835], [-118.192383, 33.76929699912781], [-118.192381, 33.77534399912776]]], ""type"": ""Polygon""}",6037576200,696659,0,33.7723836,-118.1867637,7148,2319,67.55734925,0.268981433,5079,523,3272,308,0.8931,0.347,0.5237,0.9043,0.8133
"33.77715135453106, -118.15731835305571","{""coordinates"": [[[-118.162228, 33.77897299912772], [-118.161139, 33.77897099912771], [-118.157837, 33.778958999127674], [-118.156756, 33.778964999127666], [-118.152412, 33.77896399912767], [-118.152408, 33.77715099912772], [-118.152412, 33.77533099912774], [-118.154583, 33.775339999127716], [-118.156747, 33.775336999127724], [-118.161138, 33.775336999127724], [-118.162221, 33.775337999127714], [-118.162228, 33.77897299912772]]], ""type"": ""Polygon""}",6037576904,366088,0,33.7771513,-118.157318,3239,965,70.20683229,0.141347309,3050,477,1286,153,0.7507,0.2583,0.5664,0.6086,0.6246
"33.777887175223476, -118.10758370766236","{""coordinates"": [[[-118.111872, 33.781312999127685], [-118.108003, 33.781527999127654], [-118.103619, 33.78151999912767], [-118.103684, 33.774178999127756], [-118.109731, 33.77426299912778], [-118.111789, 33.77492599912774], [-118.11174, 33.77502599912772], [-118.111508, 33.78050199912769], [-118.111872, 33.781312999127685]]], ""type"": ""Polygon""}",6037574602,574256,16243,33.7757438,-118.1050845,1243,787,36.68540894,0.22172139,1273,210,583,105,0.0793,0.2041,0.2663,0.1114,0.0683
"33.779136776047274, -118.16463259303978","{""coordinates"": [[[-118.167639, 33.77897299912771], [-118.167632, 33.78260699912763], [-118.164385, 33.782602999127654], [-118.161115, 33.78259799912767], [-118.161139, 33.77897099912771], [-118.162228, 33.77897299912772], [-118.162221, 33.775337999127714], [-118.165553, 33.775335999127726], [-118.167646, 33.77534599912776], [-118.167639, 33.77897299912771]]], ""type"": ""Polygon""}",6037576901,444895,0,33.7791377,-118.164632,5366,1067,80.11552737,0.171774849,4992,743,1950,207,0.9607,0.3302,0.6989,0.821,0.8372
"33.77897319025691, -118.17416453312852","{""coordinates"": [[[-118.176343, 33.778964999127666], [-118.176328, 33.782611999127624], [-118.174156, 33.78260599912765], [-118.171992, 33.78260599912765], [-118.171979, 33.78078599912765], [-118.171991, 33.77897199912772], [-118.171997, 33.77533899912772], [-118.176341, 33.77533799912772], [-118.176343, 33.778964999127666]]], ""type"": ""Polygon""}",6037576402,324449,0,33.7789756,-118.1741618,4705,684,85.46225601,0.125270408,4805,717,1412,137,0.9706,0.8035,0.8521,0.9979,0.9946
"33.77897589098054, -118.16981475538834","{""coordinates"": [[[-118.171991, 33.77897199912772], [-118.171979, 33.78078599912765], [-118.171992, 33.78260599912765], [-118.170909, 33.782611999127624], [-118.167632, 33.78260699912763], [-118.167639, 33.77897299912771], [-118.167646, 33.77534599912776], [-118.171997, 33.77533899912772], [-118.171991, 33.77897199912772]]], ""type"": ""Polygon""}",6037576403,324542,0,33.7789729,-118.1698152,4830,702,85.46582081,0.125306315,5043,921,1463,137,0.9756,0.7071,0.7813,0.9045,0.9476
"33.782509239455, -118.11576080896126","{""coordinates"": [[[-118.123454, 33.7871509991276], [-118.121421, 33.78637699912763], [-118.121002, 33.7887399991276], [-118.119239, 33.78873699912754], [-118.116198, 33.78873199912756], [-118.107969, 33.78870399912757], [-118.108003, 33.781527999127654], [-118.111872, 33.781312999127685], [-118.111508, 33.78050199912769], [-118.11174, 33.77502599912772], [-118.113049, 33.77529699912776], [-118.121256, 33.77531899912771], [-118.122347, 33.779047999127684], [-118.122351, 33.7793109991277], [-118.122417, 33.78473299912764], [-118.123454, 33.7871509991276]]], ""type"": ""Polygon""}",6037578100,1717560,0,33.7824816,-118.1157436,2094,1039,50.38201987,0.663153351,2371,334,0,13,0.3118,0.0015,0.2768,-999,-999
"33.785866658663835, -118.17046453979972","{""coordinates"": [[[-118.174149, 33.786229999127606], [-118.171985, 33.786233999127596], [-118.171987, 33.78985399912756], [-118.167642, 33.78984799912757], [-118.167649, 33.786220999127615], [-118.167636, 33.78440699912762], [-118.167632, 33.78260699912763], [-118.170909, 33.782611999127624], [-118.171992, 33.78260599912765], [-118.174156, 33.78260599912765], [-118.174149, 33.786229999127606]]], ""type"": ""Polygon""}",6037575202,404093,0,33.7858671,-118.1704604,4278,616,85.600728,0.156021115,3796,444,1211,97,0.9955,0.9552,0.9269,0.6296,0.9607
"33.785762002470506, -118.14346460632564","{""coordinates"": [[[-118.150217, 33.78576699912764], [-118.150232, 33.786670999127615], [-118.150232, 33.789756999127576], [-118.149648, 33.78983599912755], [-118.143136, 33.78974299912756], [-118.142802, 33.79038799912756], [-118.141859, 33.79007299912757], [-118.14192, 33.789603999127564], [-118.140986, 33.78883999912756], [-118.137005, 33.78600099912761], [-118.134866, 33.78440499912762], [-118.134053, 33.78378999912765], [-118.132673, 33.78267299912764], [-118.132555, 33.78258699912763], [-118.141536, 33.78259499912767], [-118.143716, 33.782595999127665], [-118.145888, 33.78259499912767], [-118.150232, 33.782588999127626], [-118.150217, 33.78576699912764]]], ""type"": ""Polygon""}",6037575002,965016,0,33.7857831,-118.1434681,4760,2107,55.73528241,0.372594608,4583,418,2084,188,0.4821,0.1413,0.4372,0.6182,0.4354
"33.79348192005486, -118.19154392808431","{""coordinates"": [[[-118.193726, 33.79348299912749], [-118.193714, 33.79530299912748], [-118.193703, 33.79711699912749], [-118.189375, 33.79711799912748], [-118.189365, 33.793490999127535], [-118.189364, 33.789856999127544], [-118.193723, 33.789854999127556], [-118.193729, 33.791675999127534], [-118.193726, 33.79348299912749]]], ""type"": ""Polygon""}",6037573002,324505,0,33.793484,-118.1915444,3484,396,88.63372887,0.12529203,3721,526,1144,83,0.9748,0.4556,0.8833,0.5612,0.819
"33.794805860484956, -118.14736595042334","{""coordinates"": [[[-118.158888, 33.797118999127484], [-118.151386, 33.797118999127484], [-118.151411, 33.796083999127504], [-118.148283, 33.7960799991275], [-118.148291, 33.79972699912745], [-118.141032, 33.79968899912744], [-118.141048, 33.796054999127456], [-118.142629, 33.79606399912749], [-118.142648, 33.79425699912752], [-118.142654, 33.79081799912755], [-118.142802, 33.79038799912756], [-118.143136, 33.78974299912756], [-118.149648, 33.78983599912755], [-118.152175, 33.79346499912749], [-118.15457, 33.79346999912754], [-118.154565, 33.796368999127445], [-118.158896, 33.796373999127496], [-118.158888, 33.797118999127484]]], ""type"": ""Polygon""}",6037575001,975068,0,33.7947828,-118.1474233,4144,1645,60.3040395,0.376475705,4283,767,1839,173,0.6368,0.0668,0.6152,0.3206,0.3963
"33.749429109466746, -118.12302718841694","{""coordinates"": [[[-118.132067, 33.75526899912799], [-118.130125, 33.75824699912795], [-118.130023, 33.75822699912794], [-118.129436, 33.75811299912794], [-118.13066, 33.755235999127954], [-118.128579, 33.752465999128006], [-118.122181, 33.75002099912807], [-118.11744, 33.74907999912807], [-118.115803, 33.74710799912807], [-118.11442, 33.745175999128136], [-118.11541107699998, 33.74329455412812], [-118.13259510999995, 33.75315794212804], [-118.132067, 33.75526899912799]]], ""type"": ""Polygon""}",6037577504,411816,3639460,33.7396064,-118.1387839,1393,1083,22.25411181,0.159002981,1420,236,820,100,0.2293,0.1008,0.0997,0.1276,0.0861
"33.76312933036129, -118.14864441601848","{""coordinates"": [[[-118.155444, 33.764123999127875], [-118.154575, 33.76458399912789], [-118.154581, 33.76626599912784], [-118.148064, 33.76626199912785], [-118.14155, 33.76625899912785], [-118.141552, 33.76344899912787], [-118.141558, 33.76235499912792], [-118.14156, 33.76180699912789], [-118.14515, 33.76085799912791], [-118.145867, 33.760669999127934], [-118.14635697399996, 33.75835021112793], [-118.14945862599994, 33.75951585112794], [-118.150699, 33.759981999127916], [-118.15629195099996, 33.761074470127895], [-118.155444, 33.764123999127875]]], ""type"": ""Polygon""}",6037577200,1006078,2512239,33.7525713,-118.1586796,5750,3659,36.36521107,0.388448728,5758,733,3443,403,0.4078,0.0302,0.2294,0.4413,0.2203
"33.76507249525151, -118.1603238651353","{""coordinates"": [[[-118.166308, 33.7652799991279], [-118.166149, 33.76579399912784], [-118.165621, 33.767528999127805], [-118.165379, 33.768323999127844], [-118.164738, 33.76807399912785], [-118.160584, 33.768080999127825], [-118.158925, 33.76807899912784], [-118.15459, 33.76807299912786], [-118.154581, 33.76626599912784], [-118.154575, 33.76458399912789], [-118.155444, 33.764123999127875], [-118.15629195099996, 33.761074470127895], [-118.15662575099996, 33.761139671127935], [-118.15981110099996, 33.76176186512789], [-118.16651032699997, 33.76307042412786], [-118.166308, 33.7652799991279]]], ""type"": ""Polygon""}",6037576700,857026,1651005,33.7526438,-118.159894,4153,2491,40.01925355,0.330899453,4015,623,2256,209,0.4084,0.0335,0.2504,0.6263,0.2893
"33.76600919583747, -118.1707338389078","{""coordinates"": [[[-118.174915, 33.76882599912781], [-118.171348, 33.76835999912781], [-118.167764, 33.76788699912782], [-118.165621, 33.767528999127805], [-118.166149, 33.76579399912784], [-118.166308, 33.7652799991279], [-118.16651032699997, 33.76307042412786], [-118.168643, 33.76348699912789], [-118.170349091, 33.76370689112791], [-118.17391701199995, 33.76416674712786], [-118.17570327199998, 33.76439697212786], [-118.174915, 33.76882599912781]]], ""type"": ""Polygon""}",6037576602,559795,4433921,33.7640391,-118.1730543,4403,2392,45.67339412,0.216137969,4781,607,2979,329,0.4266,0.0853,0.3368,0.6391,0.367
"33.754853225265514, -118.10894806344548","{""coordinates"": [[[-118.119984, 33.7612219991279], [-118.11512, 33.76304699912787], [-118.113603, 33.760690999127945], [-118.107192, 33.753800999128025], [-118.106396, 33.752564999128026], [-118.100845, 33.75669399912796], [-118.098722, 33.75961399912794], [-118.092045, 33.75967499912796], [-118.09197, 33.75847199912794], [-118.098776, 33.75448099912801], [-118.105849, 33.75066499912803], [-118.113046, 33.74708999912811], [-118.11442, 33.745175999128136], [-118.115803, 33.74710799912807], [-118.11744, 33.74907999912807], [-118.116381, 33.750139999128045], [-118.112363, 33.75306099912803], [-118.116643, 33.756669999127965], [-118.120798, 33.76051699912792], [-118.119984, 33.7612219991279]]], ""type"": ""Polygon""}",6037577604,866541,661519,33.7557499,-118.1100855,1300,983,24.38459663,0.334573213,1632,474,868,125,0.0755,0.0573,0.0865,0.1016,0.0222
"33.83906251619309, -118.21030054904726","{""coordinates"": [[[-118.206594, 33.846677], [-118.206072, 33.846671]], [[-118.206072, 33.846671], [-118.205897, 33.846646]], [[-118.205897, 33.846646], [-118.205903, 33.846592]], [[-118.205903, 33.846592], [-118.205912, 33.846484]], [[-118.205912, 33.846484], [-118.205955, 33.846191]], [[-118.205955, 33.846191], [-118.205995, 33.845958]], [[-118.205995, 33.845958], [-118.206041, 33.845719]], [[-118.206041, 33.845719], [-118.206101, 33.845444]], [[-118.206101, 33.845444], [-118.206157, 33.845213]], [[-118.206157, 33.845213], [-118.206221, 33.844969]], [[-118.206221, 33.844969], [-118.20643, 33.844209]], [[-118.20643, 33.844209], [-118.206513, 33.843907]], [[-118.206513, 33.843907], [-118.206598, 33.843599]], [[-118.206598, 33.843599], [-118.207154, 33.841582]], [[-118.207154, 33.841582], [-118.207078, 33.841565]], [[-118.207078, 33.841565], [-118.207535, 33.839897]], [[-118.207535, 33.839897], [-118.207563, 33.839791]], [[-118.207563, 33.839791], [-118.207657, 33.839452]], [[-118.207657, 33.839452], [-118.207691, 33.839331]], [[-118.207691, 33.839331], [-118.207727, 33.839185]], [[-118.207727, 33.839185], [-118.208252, 33.839184]], [[-118.208252, 33.839184], [-118.209902, 33.839183]], [[-118.209902, 33.839183], [-118.210122, 33.839183]], [[-118.210122, 33.839183], [-118.211204, 33.839181]], [[-118.211204, 33.839181], [-118.211278, 33.83918]], [[-118.211278, 33.83918], [-118.211288, 33.83908]], [[-118.211288, 33.83908], [-118.211528, 33.838436]], [[-118.211528, 33.838436], [-118.211777, 33.837766]], [[-118.211777, 33.837766], [-118.211989, 33.837195]], [[-118.211989, 33.837195], [-118.21205, 33.837032]], [[-118.21205, 33.837032], [-118.212152, 33.836756]], [[-118.212152, 33.836756], [-118.212278, 33.836383]], [[-118.212278, 33.836383], [-118.212398, 33.836094]], [[-118.212398, 33.836094], [-118.212467, 33.836003]], [[-118.212467, 33.836003], [-118.212558, 33.835876]], [[-118.212558, 33.835876], [-118.212608, 33.835803]], [[-118.212608, 33.835803], [-118.212673, 33.835703]], [[-118.212673, 33.835703], [-118.21275, 33.835578]], [[-118.21275, 33.835578], [-118.212818, 33.83546]], [[-118.212818, 33.83546], [-118.212877, 33.83535]], [[-118.212877, 33.83535], [-118.212927, 33.835255]], [[-118.212927, 33.835255], [-118.212987, 33.835145]], [[-118.212987, 33.835145], [-118.213417, 33.834286]], [[-118.213417, 33.834286], [-118.215687, 33.834279]], [[-118.215687, 33.834279], [-118.216008, 33.834278]], [[-118.216008, 33.834278], [-118.216136, 33.833949]], [[-118.216136, 33.833949], [-118.216411, 33.833234]], [[-118.216411, 33.833234], [-118.216655, 33.832552]]], ""type"": ""MultiLineString""}",6037990300,0,143309039,33.6975355,-118.3480953,0,0,0,,,,,,,,,,
"33.74733434897917, -118.21710048711803","{""coordinates"": [[[-118.241153, 33.75854099912794], [-118.24545, 33.7638889991279], [-118.240836, 33.76732999912786], [-118.240387, 33.76770599912782], [-118.220749, 33.782622999127646], [-118.21892, 33.78275599912765], [-118.2055, 33.782643999127664], [-118.205511, 33.77699999912771], [-118.20559, 33.76952099912782], [-118.206239, 33.769518999127826], [-118.206166, 33.76405599912786], [-118.20344, 33.76049399912793], [-118.197812, 33.757217999127995], [-118.197121, 33.75534899912796], [-118.194778, 33.75514599912796], [-118.192872, 33.753679999127996], [-118.188164, 33.75191599912803], [-118.18770864699995, 33.75144083012801], [-118.18865653099999, 33.75053378312803], [-118.189833, 33.74940799912809], [-118.18623267299994, 33.739350887128175], [-118.18584, 33.73825399912819], [-118.183342, 33.72318599912838], [-118.206422, 33.723272999128405], [-118.23179711599994, 33.7149853841285], [-118.248966, 33.75590199912798], [-118.241153, 33.75854099912794]]], ""type"": ""Polygon""}",6037980033,12471028,16166864,33.7443155,-118.2203101,89,44,50.56122965,4.815088853,14,22,14,22,-999,0.2254,0.9948,0.0942,-999
"33.77231283534374, -118.19520145527932","{""coordinates"": [[[-118.198017, 33.77224399912779], [-118.19802, 33.77533099912774], [-118.19505, 33.77533399912773], [-118.192381, 33.77534399912776], [-118.192383, 33.76929699912781], [-118.195052, 33.769292999127835], [-118.198029, 33.769282999127796], [-118.198017, 33.77224399912779]]], ""type"": ""Polygon""}",6037575902,350516,0,33.7723157,-118.1952012,5622,1966,65.03022678,0.135334929,5411,646,3346,310,0.7717,0.2715,0.4963,0.6425,0.6392
"33.77254318419302, -118.2019049376713","{""coordinates"": [[[-118.205511, 33.77699999912771], [-118.202331, 33.775300999127765], [-118.200595, 33.775333999127724], [-118.199362, 33.77533199912774], [-118.19802, 33.77533099912774], [-118.198017, 33.77224399912779], [-118.198029, 33.769282999127796], [-118.200604, 33.769278999127806], [-118.202365, 33.769317999127814], [-118.202956, 33.76950699912779], [-118.20559, 33.76952099912782], [-118.205511, 33.77699999912771]]], ""type"": ""Polygon""}",6037575901,417612,68001,33.7726767,-118.2024636,3278,701,78.61498517,0.161240828,3695,570,1620,235,0.9331,0.6679,0.7405,0.6232,0.8315
"33.78628229142628, -118.19967792169564","{""coordinates"": [[[-118.205608, 33.79018399912756], [-118.205405, 33.790198999127526], [-118.199221, 33.78984799912757], [-118.198076, 33.789846999127576], [-118.196355, 33.78985199912757], [-118.193723, 33.789854999127556], [-118.193716, 33.78532499912762], [-118.193718, 33.78393299912762], [-118.19372, 33.78259399912767], [-118.195063, 33.782588999127626], [-118.199368, 33.78259399912768], [-118.2055, 33.782643999127664], [-118.205608, 33.79018399912756]]], ""type"": ""Polygon""}",6037575401,821449,68477,33.7863532,-118.200174,4530,519,88.54302681,0.317163102,4602,643,1340,237,0.9946,0.9176,0.8711,0.9674,0.9938
"33.78650261550847, -118.21483359753555","{""coordinates"": [[[-118.226117, 33.78992799912754], [-118.216536, 33.78985299912757], [-118.210477, 33.789846999127576], [-118.208108, 33.78987599912755], [-118.205608, 33.79018399912756], [-118.2055, 33.782643999127664], [-118.21892, 33.78275599912765], [-118.220749, 33.782622999127646], [-118.227463, 33.79034399912756], [-118.226117, 33.78992799912754]]], ""type"": ""Polygon""}",6037980011,1315881,59885,33.7868656,-118.2146254,140,46,67.14237755,0.508064286,75,74,27,19,0.5967,0.9989,0.75,0.358,0.7492
"33.80076127422781, -118.21258324919982","{""coordinates"": [[[-118.219775, 33.80074499912743], [-118.219779, 33.80437199912738], [-118.218167, 33.80437699912737], [-118.215442, 33.80438099912735], [-118.213269, 33.80437899912736], [-118.211097, 33.80438399912735], [-118.210005, 33.804381999127365], [-118.205324, 33.80438799912739], [-118.205404, 33.79721899912745], [-118.210001, 33.79712099912747], [-118.213263, 33.797122999127474], [-118.215435, 33.79712599912747], [-118.21978, 33.797097999127466], [-118.219775, 33.80074499912743]]], ""type"": ""Polygon""}",6037572700,1002316,72083,33.801549,-118.212716,5405,364,93.26547766,0.386996212,4850,641,1339,141,0.6396,0.2957,0.9417,0.579,0.6179
"33.80019794339503, -118.20047594261507","{""coordinates"": [[[-118.205324, 33.80438799912739], [-118.200217, 33.804378999127366], [-118.199136, 33.80437799912736], [-118.199133, 33.800755999127404], [-118.193705, 33.800749999127426], [-118.193707, 33.79983999912746], [-118.193703, 33.79711699912749], [-118.199233, 33.797122999127474], [-118.202401, 33.79711999912748], [-118.204195, 33.79712199912748], [-118.205404, 33.79721899912745], [-118.205324, 33.80438799912739]]], ""type"": ""Polygon""}",6037573102,613548,52679,33.7989399,-118.2007652,3245,673,79.26037619,0.23689211,2785,564,1029,87,0.5262,0.1303,0.7257,0.3258,0.3952
"33.73783256452261, -118.11900359796466","{""coordinates"": [[[-118.120204, 33.73601], [-118.11951, 33.737064]], [[-118.11951, 33.737064], [-118.117803, 33.739655]]], ""type"": ""MultiLineString""}",6059990100,0,356909337,33.5354639,-117.8593391,,,,,,,,,,,,,
"33.88518000412771, -118.15312777665872","{""coordinates"": [[[-118.160006, 33.88913199912634], [-118.156065, 33.889151999126284], [-118.154742, 33.88915899912633], [-118.151409, 33.889156999126335], [-118.151286, 33.88915799912633], [-118.146971, 33.889179999126334], [-118.146975, 33.88744799912635], [-118.146976, 33.88561599912634], [-118.146958, 33.88017999912643], [-118.151294, 33.879806999126416], [-118.151315, 33.8819869991264], [-118.151616, 33.88199799912643], [-118.154715, 33.881983999126405], [-118.160022, 33.88195899912642], [-118.160006, 33.88913199912634]]], ""type"": ""Polygon""}",6037553902,1055808,0,33.8851402,-118.1530886,5977,1026,82.8341839,0.40764958,5629,1019,1634,193,0.8179,0.5909,0.8555,0.8222,0.8324
"33.886186576157655, -118.17270424036928","{""coordinates"": [[[-118.187446, 33.88918899912632], [-118.186443, 33.89253399912629], [-118.184331, 33.892551999126255], [-118.184103, 33.88913599912633], [-118.182402, 33.8891059991263], [-118.178958, 33.88909799912632], [-118.177448, 33.88904699912633], [-118.177392, 33.88904899912634], [-118.174774, 33.8890609991263], [-118.16875, 33.88908799912634], [-118.164064, 33.8890139991263], [-118.160006, 33.88913199912634], [-118.160022, 33.88195899912642], [-118.168702, 33.8819619991264], [-118.168701, 33.88200399912641], [-118.177427, 33.88195199912642], [-118.177435, 33.88535899912636], [-118.186688, 33.88544299912638], [-118.18718, 33.88544299912639], [-118.187907, 33.88630699912635], [-118.187446, 33.88918899912632]]], ""type"": ""Polygon""}",6037553802,1732522,33698,33.8861963,-118.1719652,6601,1134,82.82077218,0.668930209,7229,1068,2087,240,0.916,0.7355,0.835,0.8385,0.9105
"33.885168837779766, -118.19672418443501","{""coordinates"": [[[-118.207052, 33.88868999912633], [-118.202108, 33.888716999126316], [-118.200568, 33.88872899912634], [-118.200001, 33.88873399912633], [-118.199098, 33.88873799912631], [-118.197248, 33.88874599912629], [-118.195079, 33.888766999126304], [-118.192883, 33.88877299912634], [-118.190688, 33.88880199912632], [-118.188356, 33.88909899912632], [-118.187446, 33.88918899912632], [-118.187907, 33.88630699912635], [-118.18718, 33.88544299912639], [-118.187487, 33.88301499912641], [-118.187575, 33.88265899912639], [-118.187855, 33.88145699912643], [-118.188343, 33.881452999126445], [-118.199447, 33.88139899912642], [-118.200557, 33.88139599912641], [-118.203675, 33.881379999126395], [-118.20485, 33.88132199912643], [-118.205946, 33.88498699912635], [-118.207052, 33.88868999912633]]], ""type"": ""Polygon""}",6037542200,1328601,58593,33.8868935,-118.1971508,6898,772,88.80833737,0.512975503,6999,1061,1528,113,0.8724,0.8541,0.9731,0.6154,0.8693
"33.839548364867994, -118.14934268767041","{""coordinates"": [[[-118.156401, 33.838466999126936], [-118.156395, 33.83990999912692], [-118.156275, 33.842704999126866], [-118.154977, 33.84504899912689], [-118.154742, 33.847093999126834], [-118.151182, 33.84713799912682], [-118.149042, 33.84713099912685], [-118.147167, 33.84712499912684], [-118.142432, 33.84711099912683], [-118.14243, 33.84669399912686], [-118.142451, 33.843073999126894], [-118.142465, 33.839617999126915], [-118.142451, 33.83235299912704], [-118.142706, 33.832353999127044], [-118.147651, 33.832369999126996], [-118.149951, 33.83237799912705], [-118.157158, 33.83240099912703], [-118.156401, 33.838466999126936]]], ""type"": ""Polygon""}",6037571300,2053604,43182,33.8356188,-118.1500635,4638,2017,56.51141515,0.792900612,4258,409,1518,172,0.1462,0.3181,0.4504,0.151,0.1579
"33.84327970514008, -118.11630408550052","{""coordinates"": [[[-118.124924, 33.847053999126864], [-118.117784, 33.847033999126865], [-118.116406, 33.84702799912687], [-118.112207, 33.847015999126846], [-118.108787, 33.847004999126824], [-118.107685, 33.84700099912683], [-118.107703, 33.84317899912691], [-118.10772, 33.83954099912693], [-118.108533, 33.839500999126926], [-118.111375, 33.83951099912696], [-118.113091, 33.839515999126945], [-118.11642, 33.83952599912693], [-118.116634, 33.83952699912692], [-118.124911, 33.83955499912697], [-118.124891, 33.843016999126874], [-118.124924, 33.847053999126864]]], ""type"": ""Polygon""}",6037571101,1323727,0,33.8432785,-118.1162992,4654,2405,48.32401196,0.511093642,4922,678,1623,213,0.0379,0.0615,0.326,0.0716,0.0184
"33.84322810760998, -118.13355783880007","{""coordinates"": [[[-118.142451, 33.843073999126894], [-118.14243, 33.84669399912686], [-118.133787, 33.84672299912687], [-118.132019, 33.84707699912687], [-118.129868, 33.847069999126816], [-118.125075, 33.84705499912687], [-118.124924, 33.847053999126864], [-118.124891, 33.843016999126874], [-118.124911, 33.83955499912697], [-118.130518, 33.83957199912692], [-118.139251, 33.83959999912697], [-118.142465, 33.839617999126915], [-118.142451, 33.843073999126894]]], ""type"": ""Polygon""}",6037571202,1307630,0,33.8432139,-118.1335464,4459,1928,56.76159301,0.504878558,4028,640,1688,211,0.4478,0.1089,0.417,0.4032,0.3295
"33.847231794155086, -118.17237072294498","{""coordinates"": [[[-118.177076, 33.849163999126795], [-118.169436, 33.85177399912677], [-118.167642, 33.8517839991268], [-118.167559, 33.84693999912687], [-118.167586, 33.84694299912686], [-118.167572, 33.84621799912688], [-118.172201, 33.84371099912687], [-118.176299, 33.84149999912691], [-118.176539, 33.84394699912691], [-118.176842, 33.84696199912686], [-118.177076, 33.849163999126795]]], ""type"": ""Polygon""}",6037571505,655806,0,33.8472309,-118.1723747,2969,661,77.73658547,0.253208008,3034,723,957,115,0.494,0.4474,0.7523,0.1045,0.3679
"33.849316723149805, -118.19174582395475","{""coordinates"": [[[-118.194253, 33.84787299912683], [-118.193644, 33.84857199912682], [-118.193662, 33.851750999126764], [-118.193669, 33.85239699912678], [-118.193682, 33.85428999912675], [-118.189815, 33.85430499912677], [-118.189797, 33.8517859991268], [-118.189789, 33.851145999126764], [-118.189779, 33.848579999126805], [-118.189758, 33.84649399912686], [-118.18975, 33.844783999126875], [-118.192736, 33.84376199912686], [-118.193828, 33.846731999126824], [-118.194253, 33.84787299912683]]], ""type"": ""Polygon""}",6037571703,397479,0,33.8493201,-118.191734,3505,462,86.81880547,0.153467437,3367,476,1045,100,0.7611,0.8072,0.8848,0.9435,0.9092
"33.84974449822824, -118.18133136512715","{""coordinates"": [[[-118.184924, 33.84858099912679], [-118.182159, 33.849466999126825], [-118.184918, 33.852432999126805], [-118.18337, 33.85269099912677], [-118.177221, 33.85081399912681], [-118.177076, 33.849163999126795], [-118.184944, 33.84643599912683], [-118.184924, 33.84858099912679]]], ""type"": ""Polygon""}",6037571600,288944,0,33.8498715,-118.1813827,2180,178,91.83482026,0.111561856,2314,378,856,103,0.8557,0.9564,0.905,0.6308,0.8948
"33.856026476283475, -118.19321290765247","{""coordinates"": [[[-118.200894, 33.85612099912671], [-118.200363, 33.85693399912669], [-118.199255, 33.85871299912673], [-118.19847, 33.85998999912667], [-118.197738, 33.857532999126704], [-118.189835, 33.85757599912672], [-118.185961, 33.857590999126735], [-118.184964, 33.8580979991267], [-118.184931, 33.85433199912676], [-118.188369, 33.85430999912676], [-118.189815, 33.85430499912677], [-118.193682, 33.85428999912675], [-118.200195, 33.854256999126775], [-118.201846, 33.85437299912677], [-118.200894, 33.85612099912671]]], ""type"": ""Polygon""}",6037570304,545967,25570,33.8563177,-118.1926968,5007,580,88.41619964,0.210798951,4899,587,1490,161,0.7906,0.7012,0.8729,0.9858,0.9302
"33.864488763759915, -118.18913623551089","{""coordinates"": [[[-118.193174, 33.86519099912661], [-118.191809, 33.86746499912658], [-118.190235, 33.867303999126584], [-118.186807, 33.86743999912658], [-118.185256, 33.86731799912661], [-118.185007, 33.86550399912661], [-118.184985, 33.86369099912665], [-118.18498, 33.86188399912664], [-118.189867, 33.861697999126655], [-118.191733, 33.861805999126666], [-118.194465, 33.86304199912666], [-118.193174, 33.86519099912661]]], ""type"": ""Polygon""}",6037570306,465918,0,33.8644669,-118.1891228,3010,403,86.61126691,0.179891872,2906,525,892,180,0.703,0.4281,0.7523,0.2742,0.5584
