Geo Point,Geo Shape,GEOID,LANDAREA,WATERAREA,Latitude,Longitude,Total Population,White Only Population,Non White Only Percentage,AREA_SQMI,Total Population Estimate,Total Population Margin of Error,Housing Unit Estimate,Housing Unit Margin of Error,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
"33.84853382059749, -118.20048351484164","{""coordinates"": [[[-118.207691, 33.839330999126965], [-118.205903, 33.84659199912684], [-118.206594, 33.84667699912686], [-118.206631, 33.84858899912683], [-118.204588, 33.85473599912676], [-118.202087, 33.859072999126674], [-118.201334, 33.86013799912669], [-118.201177, 33.860117999126686], [-118.200643, 33.86087199912665], [-118.199309, 33.862768999126665], [-118.199215, 33.86244899912662], [-118.19847, 33.85998999912667], [-118.199255, 33.85871299912673], [-118.200363, 33.85693399912669], [-118.200894, 33.85612099912671], [-118.201846, 33.85437299912677], [-118.200195, 33.854256999126775], [-118.193682, 33.85428999912675], [-118.193669, 33.85239699912678], [-118.193662, 33.851750999126764], [-118.193644, 33.84857199912682], [-118.194253, 33.84787299912683], [-118.193828, 33.846731999126824], [-118.192736, 33.84376199912686], [-118.201985, 33.84048399912693], [-118.207542, 33.83866499912694], [-118.207691, 33.839330999126965]]], ""type"": ""Polygon""}",6037571701,1716774,194866,33.847882,-118.199443,6495,994,84.6959069,0.662849875,6647,1565,1762,142,0.8781,0.7476,0.8305,0.6206,0.8306
"33.860256677033085, -118.2199387361009","{""coordinates"": [[[-118.236052, 33.87359899912653], [-118.224526, 33.87391199912654], [-118.216569, 33.873362999126506], [-118.216073, 33.87336199912651], [-118.206972, 33.87371899912651], [-118.206978, 33.8732979991265], [-118.206941, 33.873091999126515], [-118.206165, 33.870352999126574], [-118.206321, 33.87034299912655], [-118.203553, 33.86110499912669], [-118.201127, 33.86090399912668], [-118.201334, 33.86013799912669], [-118.202087, 33.859072999126674], [-118.204588, 33.85473599912676], [-118.206631, 33.84858899912683], [-118.206594, 33.84667699912686], [-118.206591, 33.84656699912686], [-118.220241, 33.84657199912684], [-118.233976, 33.84664599912687], [-118.233935, 33.847015999126846], [-118.234467, 33.85366699912674], [-118.234644, 33.85592599912675], [-118.234833, 33.858092999126704], [-118.2356, 33.8672989991266], [-118.235634, 33.86789999912661], [-118.236052, 33.87359899912653]]], ""type"": ""Polygon""}",6037543305,8228441,158094,33.8612491,-118.2239158,3251,628,80.68284199,3.177017527,3808,547,1242,238,0.5993,0.5665,0.737,0.7674,0.6872
"33.868714584917335, -118.19856364741149","{""coordinates"": [[[-118.206165, 33.870352999126574], [-118.205486, 33.87040199912657], [-118.205485, 33.87272599912653], [-118.20549, 33.87297099912653], [-118.20069, 33.87273999912655], [-118.196932, 33.87380699912652], [-118.194002, 33.875092999126494], [-118.194152, 33.87595499912647], [-118.189296, 33.87665399912646], [-118.190782, 33.87244799912656], [-118.191232, 33.87149799912652], [-118.196075, 33.86381999912661], [-118.19847, 33.85998999912667], [-118.199215, 33.86244899912662], [-118.199309, 33.862768999126665], [-118.200643, 33.86087199912665], [-118.201177, 33.860117999126686], [-118.201334, 33.86013799912669], [-118.201127, 33.86090399912668], [-118.203553, 33.86110499912669], [-118.206321, 33.87034299912655], [-118.206165, 33.870352999126574]]], ""type"": ""Polygon""}",6037570402,1417975,98017,33.8685443,-118.1986552,3391,354,89.56057518,0.547482983,3376,379,1026,117,0.8328,0.7307,0.9401,0.3567,0.7391
"33.877681748830305, -118.19600343629563","{""coordinates"": [[[-118.205498, 33.87428699912649], [-118.202742, 33.87427599912652], [-118.200535, 33.87428099912651], [-118.200574, 33.88013699912643], [-118.200557, 33.88139599912641], [-118.199447, 33.88139899912642], [-118.188343, 33.881452999126445], [-118.189147, 33.87711099912649], [-118.189296, 33.87665399912646], [-118.194152, 33.87595499912647], [-118.194002, 33.875092999126494], [-118.196932, 33.87380699912652], [-118.20069, 33.87273999912655], [-118.20549, 33.87297099912653], [-118.205498, 33.87428699912649]]], ""type"": ""Polygon""}",6037570404,816724,48845,33.877496,-118.1959346,3509,369,89.48415803,0.31533877,3980,769,926,122,0.9012,0.4629,0.9318,0.1923,0.6592
"33.79329097978217, -118.1757233528248","{""coordinates"": [[[-118.180669, 33.79348699912749], [-118.180669, 33.79711999912748], [-118.180663, 33.79994499912741], [-118.171997, 33.794302999127524], [-118.167645, 33.79149199912755], [-118.167642, 33.78984799912757], [-118.171987, 33.78985399912756], [-118.176323, 33.78985399912756], [-118.180675, 33.78985299912756], [-118.180669, 33.79348699912749]]], ""type"": ""Polygon""}",6037573300,785598,0,33.7932987,-118.1757271,4068,308,92.42868918,0.303320959,4112,563,1057,89,0.9815,0.7416,0.9165,0.7416,0.9259
"33.79856202102537, -118.15888964922912","{""coordinates"": [[[-118.167518, 33.80074499912743], [-118.167588, 33.804318999127396], [-118.158924, 33.80442499912736], [-118.158877, 33.80215999912742], [-118.155781, 33.80441999912737], [-118.151346, 33.80442699912736], [-118.151386, 33.797118999127484], [-118.158888, 33.797118999127484], [-118.158896, 33.796373999127496], [-118.154565, 33.796368999127445], [-118.15457, 33.79346999912754], [-118.152175, 33.79346499912749], [-118.149648, 33.78983599912755], [-118.150232, 33.789756999127576], [-118.153488, 33.789761999127556], [-118.156743, 33.78976899912754], [-118.157117, 33.79349699912752], [-118.158895, 33.79391699912754], [-118.158897, 33.7952759991275], [-118.162387, 33.79512399912748], [-118.162783, 33.79523599912748], [-118.167615, 33.795295999127504], [-118.167518, 33.80074499912743]]], ""type"": ""Polygon""}",6037573403,1664763,0,33.7986098,-118.1589748,3446,1220,64.59661503,0.642768324,3194,523,1411,221,0.167,0.0651,0.5336,0.1436,0.0927
"33.79349067172176, -118.19647341497816","{""coordinates"": [[[-118.199139, 33.797123], [-118.198938, 33.797123], [-118.198073, 33.797122], [-118.198056, 33.797122], [-118.196982, 33.797121], [-118.195884, 33.797119], [-118.194794, 33.797118], [-118.193703, 33.797117], [-118.193714, 33.795303], [-118.193716, 33.794597], [-118.193726, 33.793483], [-118.193729, 33.791676], [-118.193723, 33.789855], [-118.195058, 33.789857], [-118.196355, 33.789852], [-118.196409, 33.789851], [-118.19761, 33.789853], [-118.198076, 33.789847], [-118.199221, 33.789848], [-118.199218, 33.791668], [-118.199224, 33.793489], [-118.199229, 33.795303], [-118.199233, 33.79704], [-118.199233, 33.797123], [-118.199139, 33.797123]]], ""type"": ""Polygon""}",6059110006,1321237,26724,33.7981512,-118.079092,,,,,,,,,,,,,
"33.800621293965506, -118.1853161288782","{""coordinates"": [[[-118.189362, 33.79984899912743], [-118.189354, 33.804385999127405], [-118.1861, 33.8044349991274], [-118.185017, 33.80439999912737], [-118.184582, 33.80433099912737], [-118.181734, 33.804230999127405], [-118.18175, 33.800638999127415], [-118.180663, 33.79994499912741], [-118.180669, 33.79711999912748], [-118.182841, 33.797122999127474], [-118.185014, 33.797118999127484], [-118.189375, 33.79711799912748], [-118.189362, 33.79984899912743]]], ""type"": ""Polygon""}",6037573201,601396,0,33.800619,-118.1853159,4606,469,89.81760968,0.232200198,4339,714,1344,146,0.8836,0.7788,0.9026,0.9619,0.9521
"33.803297490069994, -118.12962495105837","{""coordinates"": [[[-118.133969, 33.7962599991275], [-118.133964, 33.80236099912742], [-118.133965, 33.802761999127384], [-118.133977, 33.80670099912733], [-118.133951, 33.810558999127316], [-118.12526, 33.81053199912727], [-118.125269, 33.806758999127354], [-118.125283, 33.8026409991274], [-118.125312, 33.79602199912748], [-118.133993, 33.79604999912746], [-118.133969, 33.7962599991275]]], ""type"": ""Polygon""}",6037574201,1279087,15561,33.803924,-118.1276823,3287,1794,45.42134304,0.493858049,3001,407,1099,138,0.152,0.5887,0.296,0.1466,0.1988
"33.78648734048141, -118.17679484767852","{""coordinates"": [[[-118.180666, 33.785777], [-118.180674, 33.786232], [-118.18068, 33.787135], [-118.180679, 33.788046], [-118.180677, 33.788949], [-118.180676, 33.789385], [-118.180675, 33.789853], [-118.179592, 33.789851], [-118.179196, 33.78985], [-118.178503, 33.78985], [-118.17742, 33.789855], [-118.176323, 33.789854], [-118.175714, 33.789853], [-118.174159, 33.789851], [-118.173005, 33.789856], [-118.171987, 33.789854], [-118.171978, 33.789733], [-118.171982, 33.788034], [-118.171983, 33.787487], [-118.171983, 33.787467], [-118.171983, 33.787124], [-118.171984, 33.787038], [-118.171984, 33.786827], [-118.171985, 33.786234], [-118.17306, 33.786228], [-118.174149, 33.78623], [-118.174152, 33.784416], [-118.174156, 33.782606], [-118.174883, 33.782603], [-118.175253, 33.782605], [-118.175594, 33.782607], [-118.176328, 33.782612], [-118.177924, 33.782601], [-118.179013, 33.782603], [-118.179668, 33.782603], [-118.180063, 33.782604], [-118.18068, 33.782598], [-118.180676, 33.784826], [-118.180684, 33.784867], [-118.180666, 33.785777]]], ""type"": ""Polygon""}",6059110108,1984125,74746,33.8081618,-118.0666483,,,,,,,,,,,,,
