OID_,ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_CANCER,D5_CANCER,D2_RESP,D5_RESP,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_CANCER,P_RESP,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,P_D2_PM25,P_D5_PM25,P_D2_OZONE,P_D5_OZONE,P_D2_DSLPM,P_D5_DSLPM,P_D2_CANCER,P_D5_CANCER,P_D2_RESP,P_D5_RESP,P_D2_RSEI_AIR,P_D5_RSEI_AIR,P_D2_PTRAF,P_D5_PTRAF,P_D2_LDPNT,P_D5_LDPNT,P_D2_PNPL,P_D5_PNPL,P_D2_PRMP,P_D5_PRMP,P_D2_PTSDF,P_D5_PTSDF,P_D2_UST,P_D5_UST,P_D2_PWDIS,P_D5_PWDIS,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,EXCEED_COUNT_80_SUP,Shape_Length,Shape_Area
7095,6037480201,California,CA,Los Angeles,9,3479,3394,2528,1149,1312,1757,0.388342556,0.069642892,2412,0.693302673,283,0.08338244,77,0.043824701,58,0.050478677,177,0.070015823,184,0.052888761,658,0.189134809,0.100512821,10.48488027,76.78602,0.362770497,40,0.5,746.8140539,223.2088387,1206,0.919207317,0.635302804,0.17003494,6.562037115,0,0.89077817,30.67906195,5.501788487,32.62077474,5.850002948,28.73734914,5.153574008,35.3391726,6.337503172,33.78580237,6.058931604,26.40729383,4.735716672,19.02878526,3.41250172,38.44591308,6.894646332,37.28088541,6.685717655,15.1453597,2.716072797,25.24226617,4.526787996,0,0,31.84408962,5.710717164,40,10,55,9,32,44,34,46,74,1,79,84,74,91,87,68,49,99,96,39,65,0,82,67,47,70,47,64,43,91,66,79,63,62,40,48,29,77,52,74,54,40,26,59,39,0,0,71,48,1531132,1750,0,0,1,0,0.058126411,0.000149773
7096,6037480202,California,CA,Los Angeles,9,2595,2595,1913,960,1080,1397,0.473025048,0.123761575,2068,0.796917148,387,0.149132948,48,0.034359341,176,0.183333333,174,0.090956613,124,0.0477842,668,0.257418112,0.161025641,10.46959041,77.51994,0.367791389,40,0.5,750.8443201,424.8793718,943,0.873148148,0.386176162,0.189578013,7.014267724,0,1.971380652,36.89595376,9.653402872,40.68015414,10.64349547,35.4768786,9.282118125,43.04527937,11.26230333,41.15317918,10.76725702,32.63872832,8.539548695,32.63872832,8.539548695,46.35645472,12.12863438,43.51830443,11.38606493,20.81310212,5.445509313,31.69267823,8.292025544,0,0,41.15317919,10.76725705,54,43,66,25,21,86,42,38,91,32,78,86,75,91,87,69,69,98,92,44,67,0,87,73,67,80,69,72,65,92,86,87,78,71,64,70,63,84,74,81,73,50,44,69,62,0,0,82,74,1515054,0,0,0,6,1,0.048962584,0.000148032
7097,6037480302,California,CA,Los Angeles,9,4262,4262,3284,1730,1770,2296,0.515954951,0.146564779,3550,0.832942281,848,0.198967621,113,0.049216028,390,0.225433526,410,0.124847747,339,0.079540122,840,0.197090568,0.134358974,10.57632329,75.63083,0.381073018,40,0.5,784.5402146,252.3137451,620,0.350282486,3.295387718,0.161094757,7.28111531,0,0.332613061,41.27639606,11.72518233,42.30830596,12.01831189,39.72853123,11.28548798,46.95190054,13.33739489,44.88808074,12.75113577,36.11684655,10.25953454,27.86156734,7.914498074,31.98920695,9.087016307,51.07954012,14.50991314,19.09033318,5.422896828,35.6008916,10.11296976,0,0,38.6966213,10.99235844,61,54,71,38,38,91,52,80,77,10,80,82,77,91,87,70,54,62,99,37,69,0,75,76,73,81,74,76,72,93,90,89,83,74,71,63,59,69,63,88,81,47,44,74,70,0,0,79,75,1050464,0,1,0,4,3,0.045910527,0.000102629
7098,6037480303,California,CA,Los Angeles,9,4416,4416,3197,1546,1611,2747,0.588654891,0.16284318,4053,0.917798913,1146,0.25951087,381,0.13869676,269,0.173997413,354,0.110728808,292,0.066123188,511,0.11571558,0.131282051,10.66536877,74.29025,0.403273168,40,0.5,820.9695948,203.0727973,693,0.430167598,0.778990911,0.183738144,7.736278348,0,0.292637136,48.26970109,13.35314079,45.91508152,12.70176807,47.68104617,13.19029758,53.56759508,14.81872938,51.21297552,14.16735666,41.79449728,11.56186581,27.078125,7.490786297,40.6171875,11.23617945,57.09952446,15.7957885,25.31216033,7.002256756,41.79449728,11.56186581,0,0,42.97180707,11.88755217,72,60,84,50,94,85,48,65,37,9,82,78,81,91,87,71,46,69,97,43,71,0,73,83,77,85,76,83,77,94,92,92,86,80,75,62,57,79,71,93,84,58,53,81,75,0,0,83,78,451631,0,0,0,9,3,0.0266672,4.41208E-05
7099,6037480304,California,CA,Los Angeles,9,4491,4308,3416,1824,1971,2602,0.616197576,0.169501507,4119,0.917167669,1358,0.315227484,132,0.050730208,311,0.170504386,544,0.159250585,132,0.029392118,710,0.158093966,0.151794872,10.64910959,74.70569,0.401549169,40,0.5,815.0724631,471.2000502,632,0.320649417,1.303417221,0.169799515,6.765734303,0,0.311196629,50.52820125,13.89912357,48.67960852,13.39061905,49.91200366,13.72962207,56.07397942,15.42463714,53.60918911,14.74663111,43.75002791,12.03460699,43.75002791,12.03460699,36.355657,10.00058891,60.38736247,16.61114768,24.03170547,6.610558769,40.66904003,11.18709946,0,0,45.59862064,12.54311151,76,63,84,61,40,84,60,15,61,22,82,79,81,91,87,71,71,59,98,39,66,0,74,85,78,87,78,85,79,94,92,93,87,82,76,83,76,74,66,95,86,55,51,80,74,0,0,85,80,436639,0,0,0,10,4,0.026829582,4.26567E-05
7100,6037480400,California,CA,Los Angeles,9,5650,5642,4566,2214,2424,2942,0.524304725,0.133070516,4764,0.843185841,1159,0.205423609,94,0.031951054,380,0.17163505,468,0.102496715,266,0.047079646,1256,0.222300885,0.153846154,10.57106685,75.36516,0.373747945,40,0.5,776.1803236,435.6213244,1291,0.532590759,1.208695026,0.158368185,6.416070206,0,0.289350203,41.94437797,10.64564129,42.4686827,10.77871181,39.8471591,10.11335922,47.71172998,12.10941696,45.61451108,11.57713489,36.70133073,9.31493613,36.177026,9.181865614,40.89576852,10.37950026,51.38186302,13.04091058,18.87497009,4.790538581,33.55550238,8.516513033,0,0,38.2742449,9.714147679,62,48,73,39,19,84,46,37,85,24,80,81,76,91,87,70,69,78,98,36,64,0,73,77,70,81,70,77,68,93,88,90,80,75,67,75,66,79,68,89,78,47,41,72,63,0,0,79,70,1285545,0,0,0,4,2,0.054162189,0.0001256
7101,6037480500,California,CA,Los Angeles,9,5263,5258,3908,2161,2353,3138,0.302078293,0.073411654,2468,0.468934068,711,0.135222518,108,0.034416826,82,0.037945396,26,0.006653019,142,0.026980809,870,0.165304959,0.152820513,10.53336438,75.0677,0.369109176,40,0.5,757.4371368,278.1519756,1876,0.797280068,0.499812972,0.172102248,6.302868098,0.918634464,0.126559772,24.16626344,5.872932352,24.16626344,5.872932352,22.65587198,5.50587405,27.48912466,6.680460514,26.28081149,6.386813898,20.84340222,5.065404153,17.2184627,4.184464301,28.99951613,7.047518822,28.39535955,6.900695513,12.08313172,2.936466176,19.03093246,4.624934227,21.14548051,5.138815808,19.63508905,4.771757536,25,12,31,22,21,36,3,13,65,23,80,80,75,91,87,69,57,96,94,40,63,70,65,59,49,57,47,55,46,81,68,70,65,53,43,44,35,65,53,63,55,34,28,47,39,69,65,51,41,2111457,0,0,0,1,0,0.073866758,0.000206304
7102,6037480601,California,CA,Los Angeles,9,4070,4070,2740,1612,1688,2195,0.411179361,0.09044377,2736,0.672235872,611,0.15012285,211,0.096127563,84,0.052109181,45,0.016423358,228,0.056019656,276,0.067813268,0.137435897,10.42277589,75.29036,0.360062252,40,0.5,708.6847445,1235.2522,983,0.582345972,0.330490958,0.199773961,6.35623547,0,0.094274833,31.66081081,6.964170275,33.30552826,7.325945354,30.01609335,6.60239521,37.41732185,8.23038307,35.77260441,7.86860799,27.5490172,6.059732577,36.18378378,7.959051743,33.71670762,7.416389124,37.00614251,8.139939282,18.91425061,4.160413411,26.31547912,5.788401267,0,0,25.90429975,5.697957497,44,23,52,26,80,45,7,51,11,12,77,81,73,91,87,67,88,82,90,46,64,0,63,68,55,71,55,66,52,92,75,81,70,64,50,75,59,71,55,73,61,47,37,61,47,0,0,63,48,706578,0,0,0,2,0,0.042738376,6.90462E-05
7103,6037480602,California,CA,Los Angeles,9,4190,4083,3199,1689,1856,2620,0.283092566,0.049677778,2125,0.507159905,241,0.059025227,37,0.014122137,10,0.005920663,102,0.031884964,309,0.073747017,468,0.111694511,0.137435897,10.42277589,75.29036,0.360062252,40,0.5,721.2299766,1407.138524,1213,0.653556034,0.269417466,0.195969803,5.704008992,0,0.107524848,21.79812755,3.825188884,22.93049781,4.023899995,20.66575732,3.626477794,25.76142351,4.520677798,24.62905324,4.321966686,19.25029446,3.378088884,25.4783309,4.470999994,24.91214577,4.371644439,24.91214577,4.371644439,13.02225801,2.285177775,16.98555393,2.980666663,0,0,18.11792419,3.179377774,21,2,35,4,5,11,15,74,35,12,77,81,73,91,87,68,90,88,88,46,60,0,64,55,35,55,35,51,33,77,55,68,55,49,30,59,37,60,36,58,40,36,22,44,27,0,0,49,28,1631417,24599,0,0,0,0,0.069612394,0.000161825
7104,6037480702,California,CA,Los Angeles,9,4659,4659,3278,1645,1815,2427,0.398476068,0.066848515,3384,0.726336124,329,0.070616012,204,0.084054388,92,0.055927052,96,0.02928615,346,0.074264864,894,0.191886671,0.094358974,10.56360658,73.27858,0.367562491,40,0.5,791.7873586,273.5701068,754,0.415426997,0.230435128,0.202611362,5.291496483,0,0.1392199,31.87808543,5.34788122,29.88570509,5.013638644,29.8857051,5.013638625,36.26132219,6.083214865,34.66741792,5.815820805,27.89332475,4.679396068,22.3146598,3.743516854,26.69789654,4.478850522,33.87046577,5.682123797,18.72837519,3.141880217,22.71313587,3.81036537,0,0,26.29942048,4.412002007,42,8,59,6,73,47,14,75,75,0,80,75,75,91,87,70,56,67,85,47,57,0,66,68,46,66,42,65,42,91,65,80,62,64,40,54,32,62,37,69,48,47,29,54,33,0,0,63,38,2175988,0,0,0,2,0,0.068280597,0.000212601
