OID_,ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_CANCER,D5_CANCER,D2_RESP,D5_RESP,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_CANCER,P_RESP,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,P_D2_PM25,P_D5_PM25,P_D2_OZONE,P_D5_OZONE,P_D2_DSLPM,P_D5_DSLPM,P_D2_CANCER,P_D5_CANCER,P_D2_RESP,P_D5_RESP,P_D2_RSEI_AIR,P_D5_RSEI_AIR,P_D2_PTRAF,P_D5_PTRAF,P_D2_LDPNT,P_D5_LDPNT,P_D2_PNPL,P_D5_PNPL,P_D2_PRMP,P_D5_PRMP,P_D2_PTSDF,P_D5_PTSDF,P_D2_UST,P_D5_UST,P_D2_PWDIS,P_D5_PWDIS,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,EXCEED_COUNT_80_SUP,Shape_Length,Shape_Area
5585,6037101110,California,CA,Los Angeles,9,3879,3806,3067,1494,1639,2067,0.319545251,0.142410589,1574,0.405774684,888,0.233315817,99,0.047895501,222,0.148594378,290,0.09455494,131,0.033771591,873,0.225058005,0.187692308,8.67554274,80.34199,0.152920912,30,0.3,412.0308813,67.46934876,993,0.60585723,0.10683752,0.244237481,0.795921765,0,0.000256204,15.65771728,6.978118839,28.43952731,12.67454238,7.988631275,3.560264725,13.42090054,5.981244738,5.432269267,2.420980013,18.53362454,8.259814136,5.751814512,2.563390594,26.84180106,11.96248944,19.17271504,8.544635313,17.25544354,7.690171782,3.834543008,1.708927063,0,0,8.308176517,3.702675302,28,52,24,46,37,80,43,19,85,63,49,89,25,42,17,58,18,84,60,54,12,0,26,44,55,64,76,24,32,52,64,30,41,48,63,17,23,62,73,49,63,44,57,13,16,0,0,24,33,1142401,0,0,0,0,0,0.047170387,0.000111817
5586,6037101122,California,CA,Los Angeles,9,4247,4216,3146,1372,1426,2300,0.217677876,0.124822287,1307,0.307746645,538,0.127609108,256,0.111304348,62,0.045189504,505,0.160521297,131,0.030845303,923,0.21732988,0.179487179,8.583353973,80.78891,0.142590174,30,0.3,406.7734564,8.211293718,543,0.380785414,0.097973489,0.222079329,0.69324492,0,0.000230815,10.44853807,5.991469793,19.59100888,11.23400586,4.788913272,2.746090314,9.142470792,5.242536054,3.700523892,2.121978879,12.62531683,7.239692666,0.653033629,0.374466862,13.93138409,7.98862639,12.18996108,6.990048091,11.1015717,6.365936655,2.394456641,1.373045161,0,0,5.441946911,3.120557184,11,44,14,20,87,41,60,16,83,54,48,90,22,42,17,58,3,64,56,51,11,0,25,30,50,50,72,16,26,45,60,22,38,34,57,3,4,39,58,35,56,32,50,8,13,0,0,16,28,2644045,0,0,0,0,0,0.096237171,0.000258821
5587,6037101220,California,CA,Los Angeles,9,3583,3583,2644,1357,1399,2042,0.483951996,0.216497078,2275,0.634942785,1193,0.332961206,264,0.129285015,239,0.176123803,659,0.24924357,132,0.036840636,499,0.139268769,0.194871795,8.751636438,80.06156,0.22080069,30,0.4,428.3256343,236.3214399,724,0.517512509,0.107419514,0.193899697,1.513151708,0,0.000243346,24.19759978,10.82485388,43.0717276,19.26823991,21.29388782,9.525871432,20.32598383,9.092877276,27.58526377,12.34033345,28.06921574,12.5568305,24.68155177,11.04135096,37.26430366,16.67027498,29.03711973,12.98982466,21.7778398,9.742368493,9.679039911,4.329941552,0,0,12.09879989,5.412426941,56,78,49,64,92,85,75,23,51,70,50,89,44,42,57,58,51,77,60,45,20,0,25,59,71,82,91,53,66,65,78,71,82,65,78,58,73,75,86,64,77,52,66,28,37,0,0,35,46,698886,0,0,0,1,3,0.038499445,6.83998E-05
5588,6037101221,California,CA,Los Angeles,9,3723,3686,2630,1450,1556,1730,0.421808481,0.235192659,1653,0.443996777,1473,0.399620184,72,0.041618497,501,0.345517241,619,0.235361217,134,0.035992479,583,0.156594145,0.153846154,8.758051507,80.0202,0.212166825,30,0.4,414.553538,205.1145982,395,0.253856041,0.111106544,0.236479741,0.886912355,0,0.000266727,21.09042403,11.75963294,37.54095478,20.93214663,17.7159562,9.878091678,17.7159562,9.878091678,24.04308342,13.40598156,24.46489188,13.64117421,19.82499859,11.05405496,21.93404099,12.23001825,25.73031732,14.34675218,22.35584947,12.46521091,5.905318729,3.292697222,0,0,10.9670205,6.115009126,45,82,28,74,29,97,73,22,61,24,50,89,42,42,57,58,47,52,61,53,14,0,26,54,73,77,93,45,67,60,82,67,85,59,80,49,73,55,74,59,81,53,75,18,30,0,0,32,50,354178,0,0,0,0,5,0.029098928,3.46643E-05
5589,6037101222,California,CA,Los Angeles,9,2690,2690,1989,935,994,1376,0.528252788,0.276265704,1120,0.416356877,1722,0.640148699,168,0.122093023,270,0.288770053,351,0.176470588,56,0.020817844,386,0.143494424,0.153846154,8.758051507,80.0202,0.212166825,30,0.4,421.3900675,240.696137,318,0.319919517,0.110726072,0.215774716,1.0438531,0,0.000257492,26.41263941,13.81328518,47.01449814,24.58764762,22.1866171,11.60315957,22.1866171,11.60315957,30.11040892,15.74714513,30.63866171,16.02341081,27.46914498,14.36581658,31.1669145,16.29967651,32.22342007,16.85220792,26.41263941,13.81328518,7.923791822,4.143985553,0,0,13.73457249,7.182908292,63,90,25,96,90,95,63,8,54,24,50,89,42,42,57,58,52,59,61,50,15,0,26,62,78,86,96,54,73,69,87,74,89,68,85,63,82,68,85,67,86,59,79,23,36,0,0,39,57,296512,0,0,0,1,7,0.030206586,2.90196E-05
5590,6037101300,California,CA,Los Angeles,9,4068,4026,3277,1420,1517,1967,0.205482029,0.113868979,1013,0.249016716,652,0.161947342,137,0.069649212,119,0.083802817,244,0.074458346,126,0.030973451,1093,0.268682399,0.179487179,8.771796438,80.09128,0.221821034,30,0.4,473.8626394,278.0967711,850,0.560316414,0.108234785,0.159171948,1.742829959,0,0.000234937,10.47958348,5.807317946,18.28790059,10.13433916,9.041209276,5.010235076,8.630245218,4.782497118,11.71247565,6.490531803,12.32892174,6.832138761,11.71247566,6.490531822,16.43856232,9.109518347,12.32892174,6.832138761,7.397353046,4.099283256,4.726086668,2.618986525,0,0,5.137050726,2.846724484,9,38,8,29,61,61,35,16,92,54,51,89,44,42,57,60,57,80,60,36,23,0,25,30,49,47,68,27,42,44,57,55,65,34,55,32,51,45,63,36,55,23,36,15,24,0,0,15,25,2580478,0,0,1,0,0,0.085837038,0.000252542
5591,6037101400,California,CA,Los Angeles,9,3372,3356,2421,1304,1543,1704,0.353462293,0.161126233,1172,0.347568209,1206,0.359356377,125,0.073356808,153,0.117331288,219,0.090458488,240,0.071174377,658,0.195136418,0.165128205,8.887764658,79.3651,0.22656088,30,0.4,458.5576358,201.5382381,769,0.49837978,0.118074752,0.218395024,1.373333433,0,0.00027918,18.73350151,8.539690358,31.10468176,14.17910852,16.25926548,7.411806718,14.84541631,6.767301786,20.1473507,9.184195281,20.85427527,9.506447757,16.25926546,7.411806726,26.50967195,12.08446749,22.62158673,10.31207892,17.67311464,8.056311659,6.715783561,3.06139843,0,0,9.19001961,4.189282062,34,59,18,68,64,73,42,71,77,37,53,88,46,42,57,59,46,75,64,50,19,0,26,50,63,68,80,42,57,54,68,64,74,53,68,42,56,62,74,55,69,45,59,20,28,0,0,27,37,6310056,0,0,0,0,1,0.133831492,0.000617501
5592,6037102103,California,CA,Los Angeles,9,1767,1767,1224,669,781,816,0.275042445,0.13977444,392,0.221844935,580,0.328239955,44,0.053921569,80,0.119581465,58,0.047385621,178,0.10073571,224,0.126768534,0.14974359,9.107297534,76.96263,0.255182207,30,0.4,499.8389983,867.7336523,472,0.604353393,0.254289684,0.967135054,8.470085266,0,0.010357113,16.50254669,8.386466387,23.10356537,11.74105294,14.57724959,7.40804532,11.55178269,5.87052648,15.67741937,7.96714308,16.77758913,8.526240826,22.82852292,11.6012785,23.10356537,11.74105294,23.9286927,12.16037626,22.82852292,11.6012785,20.35314092,10.34330854,0,0,13.4770798,6.848947549,20,51,6,63,44,73,23,92,44,21,60,84,53,42,57,61,83,84,87,83,74,0,49,46,62,55,73,39,57,48,63,60,70,43,64,55,75,57,72,57,75,54,72,50,71,0,0,38,55,1186484,0,0,0,0,0,0.051639811,0.000116085
5593,6037102104,California,CA,Los Angeles,9,4003,3770,2797,1310,1373,1920,0.283611661,0.110060395,1367,0.34149388,851,0.225729443,146,0.076041667,52,0.039694656,237,0.084733643,208,0.051961029,755,0.188608544,0.124102564,9.209783288,76.3799,0.255002554,30,0.4,580.2933151,796.5601651,339,0.246904588,0.360482027,0.685511939,6.715590694,0,0.005342893,17.30031134,6.713684076,23.53976789,9.135012759,15.03141803,5.833200935,11.91168976,4.62253659,16.16586468,6.273442515,17.86753466,6.933804865,22.97254456,8.914891969,14.46419473,5.613080129,25.80866118,10.01549592,21.83809792,8.474650391,18.71836964,7.263986049,0,0,12.76252476,4.952717761,21,35,18,44,67,37,40,45,74,6,61,83,53,42,57,63,81,51,91,77,66,0,45,47,54,56,63,40,48,49,56,61,64,46,55,55,64,40,45,59,68,52,61,47,56,0,0,36,42,1658552,0,0,0,0,0,0.083584928,0.000162255
5594,6037102105,California,CA,Los Angeles,9,1674,1674,1242,554,571,951,0.522998805,0.161905146,1274,0.761051374,477,0.284946237,36,0.03785489,58,0.104693141,235,0.18921095,164,0.097968937,198,0.11827957,0.192820513,9.274286849,75.78837,0.269288881,40,0.5,504.2683321,3014.433354,369,0.646234676,0.453966784,0.609072815,8.331155153,0,0.007469942,32.42592593,10.03811905,42.88590203,13.27622197,29.28793308,9.066688176,47.59289125,14.73336829,45.50089603,14.0857477,31.90292712,9.876213904,50.73088411,15.70479916,45.50089606,14.0857477,48.63888889,15.05717858,38.70191159,11.9809808,38.17891278,11.81907566,0,0,24.58094385,7.609541861,62,60,62,55,25,69,66,91,39,68,62,82,56,91,87,61,97,87,93,74,73,0,47,69,68,82,78,65,64,93,92,90,86,70,69,89,86,84,80,86,83,75,74,77,76,0,0,60,60,492761,0,0,0,6,5,0.030157141,4.82029E-05
5595,6037102107,California,CA,Los Angeles,9,3920,3815,3039,1204,1238,1924,0.294940086,0.130035589,1404,0.358163265,884,0.231716907,177,0.091995842,29,0.024086379,361,0.118789075,87,0.022193878,751,0.191581633,0.183589744,8.936608767,78.4394,0.208838867,30,0.4,414.5154357,59.99080336,585,0.472536349,0.18203485,0.891762662,5.130397242,0,0.001416684,16.22170474,7.151957413,25.65978749,11.31309627,12.09254353,5.331459149,12.38748361,5.461494738,16.8115849,7.412028573,17.106525,7.542064181,4.719041378,2.080569429,21.53062629,9.492598021,23.59520689,10.40284715,24.18508706,10.66291832,16.51664482,7.281993002,0,0,10.91278319,4.811316805,24,46,20,45,78,26,50,9,75,59,55,87,41,42,57,58,16,73,80,82,56,0,37,45,56,59,72,34,45,50,61,62,68,44,59,15,19,54,64,56,70,56,69,43,57,0,0,32,41,12908558,13753,0,0,0,0,0.19826371,0.001264542
5596,6037103101,California,CA,Los Angeles,9,2481,2481,1921,915,977,1561,0.276299879,0.122200409,918,0.370012092,453,0.182587666,138,0.088404869,82,0.089617486,150,0.078084331,165,0.066505441,407,0.164046755,0.172307692,8.550267397,80.95278,0.142283074,30,0.3,385.8918689,15.58232935,592,0.60593654,0.102339262,0.316453477,0.735844294,0,0.000262196,12.98609432,5.74341922,24.86698912,10.9980368,6.078597338,2.688408998,11.60459492,5.132417178,4.697097943,2.077406953,15.74909311,6.965423309,1.657799274,0.733202454,23.20918984,10.26483435,16.02539299,7.087623718,16.57799274,7.332024536,3.315598549,1.466404907,0,0,7.183796856,3.177210632,20,42,21,34,76,63,37,65,64,46,47,90,22,42,17,57,6,84,58,60,12,0,26,37,48,58,71,19,26,48,59,26,37,41,55,6,7,57,67,44,56,42,55,11,14,0,0,21,28,2029806,0,0,0,0,0,0.079035087,0.000198707
5597,6037103102,California,CA,Los Angeles,9,4692,4692,3601,1651,1713,2601,0.314578005,0.192079583,1711,0.364663257,1241,0.264492754,329,0.126489812,355,0.215021199,652,0.181060816,154,0.032821824,762,0.162404092,0.173333333,8.649751507,80.41065,0.15367919,30,0.3,398.9140843,64.49878736,996,0.581436077,0.110030971,0.352364113,0.869183869,0,0.000281105,15.41432225,9.41189956,28.31202046,17.28716246,7.864450125,4.801989575,13.21227621,8.067342486,5.347826085,3.265352911,18.2455243,11.14061581,5.347826087,3.265352909,25.79539642,15.75052579,19.18925831,11.71685455,19.81841432,12.10101372,4.089514066,2.497034577,0,0,8.179028133,4.994069154,27,70,20,51,92,90,64,18,63,47,49,90,25,42,17,58,17,82,61,63,13,0,26,43,66,63,88,24,41,51,74,29,48,47,74,17,28,61,84,49,74,48,74,13,23,0,0,24,42,1241029,0,0,0,0,2,0.051432006,0.000121475
5598,6037103201,California,CA,Los Angeles,9,4179,4072,3175,1530,1611,2360,0.322219844,0.155804975,1517,0.363005504,1146,0.281434185,244,0.103389831,74,0.048366013,577,0.181732283,167,0.039961713,733,0.175400814,0.164102564,8.577451781,80.69542,0.164436378,30,0.3,386.3058697,259.7483769,793,0.492240844,0.115633492,0.597913553,1.703894043,0,0.000330998,15.46655252,7.478638808,28.99978598,14.02244776,9.022155632,4.3625393,13.53323345,6.54380895,5.477737348,2.648684575,18.36653112,8.880883584,17.72209143,8.569273634,24.16648831,11.68537314,20.29985018,9.815713435,23.84426847,11.52956816,7.088836572,3.427709454,0,0,8.699935793,4.206734329,29,57,20,55,84,43,64,27,69,35,48,90,28,42,17,57,55,75,63,74,22,0,27,43,58,65,80,27,38,52,67,30,43,47,65,45,63,59,72,51,67,55,72,21,31,0,0,25,37,1954789,0,0,0,0,1,0.055779706,0.000191346
5599,6037103202,California,CA,Los Angeles,9,2082,2077,1695,660,700,1120,0.283996375,0.078523681,949,0.45581172,233,0.11218103,14,0.0125,0,0,176,0.103834808,127,0.060999039,590,0.283381364,0.164102564,8.577451781,80.69542,0.164436378,30,0.3,369.7429415,731.8199018,313,0.447142857,0.103617918,0.494951132,1.780382351,0,0.000241393,13.631826,3.769136666,25.55967374,7.067131248,7.9518985,2.198663068,11.92784775,3.297994602,4.827938375,1.334902577,15.903797,4.39732611,22.71970999,6.281894443,19.87974624,5.496657638,16.47178975,4.554373471,19.87974624,5.496657638,6.531916623,1.806044652,0,0,7.099909373,1.963092013,22,15,30,16,4,0,46,58,94,35,48,90,28,42,17,56,80,70,58,70,23,0,25,39,34,59,54,24,22,49,46,27,24,42,38,54,50,51,44,44,41,48,45,20,17,0,0,21,18,4738407,0,0,0,0,0,0.144608864,0.000463872
5600,6037103300,California,CA,Los Angeles,9,3842,3837,2684,1203,1381,1786,0.222614622,0.080443105,1272,0.331077564,438,0.114151681,118,0.066069429,7,0.005818786,126,0.046944858,118,0.03071317,794,0.206663196,0.169230769,8.75609863,79.42577,0.17394737,30,0.3,382.7715329,102.0593156,685,0.496017379,0.134616296,0.995989049,3.829622293,0,0.000558815,11.13073112,4.022155239,19.59008677,7.078993221,6.901053282,2.493736255,9.349814124,3.37861041,3.784448574,1.367532785,12.68903348,4.585256973,5.787980182,2.091520724,16.69609668,6.033232859,15.36040894,5.55057423,18.69962828,6.757220802,10.01765801,3.619939715,0,0,6.901053294,2.493736248,12,16,17,16,57,10,23,16,80,42,50,88,31,42,17,57,26,75,69,84,45,0,31,32,36,50,54,22,24,45,47,22,25,35,39,18,19,45,47,42,48,47,52,28,32,0,0,20,23,6141955,0,0,0,0,0,0.115578038,0.000601153
5601,6037103401,California,CA,Los Angeles,9,2643,2643,2029,988,1072,1451,0.284335982,0.124217335,983,0.371925842,520,0.196746122,123,0.084769125,65,0.065789474,183,0.090192213,86,0.032538782,592,0.223987893,0.183589744,8.763560548,79.71787,0.171349562,30,0.3,397.2414677,567.4104265,520,0.485074627,0.125761241,0.652328283,2.419457602,0,0.00035814,14.21679909,6.210866768,25.30590238,11.05534285,8.53007946,3.72652005,11.94211124,5.21712807,4.833711694,2.111694695,16.20715096,7.080388115,21.32519864,9.316300151,21.04086266,9.192082816,18.7661748,8.198344133,21.60953462,9.440517487,8.814415437,3.850737396,0,0,7.961407491,3.47808539,22,43,21,38,73,52,42,18,85,59,50,89,30,42,17,57,75,74,66,76,31,0,28,40,51,59,71,25,33,49,60,27,38,42,56,52,66,53,63,49,61,52,65,26,33,0,0,23,31,1401638,0,0,1,0,0,0.063673652,0.000137182
5602,6037103402,California,CA,Los Angeles,9,3902,3850,3012,1372,1519,2285,0.329205203,0.115936001,1960,0.502306509,601,0.156103896,83,0.036323851,79,0.057580175,440,0.146082337,249,0.063813429,636,0.162993337,0.183589744,8.763560548,79.71787,0.171349562,30,0.3,404.5842345,85.27344492,1096,0.721527321,0.119474701,0.371196327,0.919931503,0,0.000306151,16.46026014,5.796800031,29.29926305,10.31830406,9.87615609,3.47808003,13.82661853,4.869312042,5.596488451,1.970912017,19.09390176,6.724288036,7.242514461,2.550592014,30.28687866,10.66611206,21.06913298,7.41990404,21.06913298,7.41990404,4.608872839,1.623104009,0,0,8.888540475,3.130272017,30,39,35,27,24,48,57,62,64,59,50,89,30,42,17,58,22,92,64,64,14,0,27,45,49,65,68,29,32,52,58,31,36,49,54,21,23,67,69,52,58,51,56,15,15,0,0,26,28,1099115,0,0,0,0,0,0.045546914,0.000107576
5603,6037104103,California,CA,Los Angeles,9,4204,4124,2976,866,891,2053,0.563340673,0.153789019,3971,0.944576594,751,0.182104753,131,0.06380906,72,0.083140878,894,0.300403226,224,0.053282588,703,0.167221694,0.139487179,8.531617808,80.277,0.155501641,30,0.3,351.6662145,553.496935,345,0.387205387,0.091465789,0.237546058,4.958444041,0,3.16346E-08,26.47701164,7.228083897,50.13731991,13.6872227,14.08351683,3.844725475,23.66030827,6.459138798,9.576791441,2.614413323,30.98373703,8.45839605,41.68720982,11.38038741,36.61714376,9.996286241,30.42039635,8.304607031,29.85705568,8.150818012,30.98373703,8.45839605,0,0,1.126681346,0.307578038,68,56,89,34,55,61,82,46,66,13,47,89,25,42,17,55,74,65,54,53,55,0,2,62,57,88,79,38,34,72,67,48,43,69,64,81,74,74,66,65,62,64,59,68,62,0,0,3,2,949109,0,0,0,2,0,0.041582934,9.29221E-05
5604,6037104105,California,CA,Los Angeles,9,5789,5789,3472,1526,1591,2576,0.731214372,0.28480554,5554,0.95940577,2912,0.503022975,269,0.104425466,247,0.161861075,1504,0.433179724,251,0.043358093,798,0.137847642,0.221538462,8.590621096,79.80493,0.234472099,30,0.4,354.7977787,421.3190439,190,0.119421747,0.09335936,0.275478153,9.619591631,0,4.10283E-08,35.09828986,13.67066592,65.07807912,25.34769306,35.09828986,13.67066592,30.71100362,11.96183268,41.6792192,16.23391578,40.21679046,15.6643047,49.7225773,19.36677672,26.3237174,10.25299944,40.21679046,15.6643047,41.67921921,16.23391578,57.03472102,22.21483212,0,0,1.462428744,0.56961108,91,91,91,86,84,83,93,32,50,89,48,89,48,42,57,55,68,36,55,57,78,0,2,71,78,97,97,72,79,87,88,87,89,79,85,89,92,62,67,77,84,78,84,92,94,0,0,4,5,584682,0,0,0,5,8,0.035640157,5.72393E-05
5605,6037104108,California,CA,Los Angeles,9,5138,5138,3343,1288,1342,2596,0.686356559,0.24223773,4888,0.951342935,2165,0.421370183,221,0.085130971,215,0.166925466,1232,0.368531259,375,0.072985598,532,0.103542234,0.169230769,8.616403562,79.64644,0.200146903,30,0.3,359.9739773,470.7884666,326,0.242921013,0.098563395,0.391067351,6.749417125,0,3.07602E-08,32.94511483,11.62741102,60.39937719,21.31692021,26.7679058,9.44727147,28.82697548,10.17398466,11.6680615,4.11804141,38.4359673,13.56531286,48.73131569,17.1988788,35.00418451,12.35412421,39.12232386,13.80755059,44.61317633,15.74545243,45.29953289,15.98769015,0,0,1.372713118,0.484475459,86,84,90,77,74,83,88,74,30,42,48,88,39,42,17,56,71,51,57,65,66,0,2,69,73,95,94,61,66,83,83,55,54,77,80,88,88,72,75,76,80,81,83,84,86,0,0,4,4,1096636,0,0,0,5,7,0.058296504,0.000107355
5606,6037104124,California,CA,Los Angeles,9,3889,3703,2789,1281,1371,1884,0.50007121,0.188067494,2728,0.701465672,1106,0.298676749,263,0.139596603,185,0.144418423,474,0.169953388,300,0.077140653,603,0.155052713,0.187692308,8.465846849,80.93992,0.147846515,30,0.3,358.3334535,809.0574138,453,0.330415755,0.096295265,0.404021881,3.525451053,0,2.26824E-08,22.50320447,8.463037236,45.00640894,16.92607447,11.50163783,4.325552362,21.00299082,7.898834748,8.50121057,3.197147398,27.50391658,10.34371218,41.00583926,15.42153452,30.00427263,11.28404965,28.00398779,10.53177967,32.50462868,12.22438712,21.00299084,7.898834754,0,0,0.50007121,0.188067494,58,69,56,58,94,79,62,78,60,63,45,90,23,42,17,55,82,60,56,65,42,0,1,56,62,84,87,32,38,67,73,44,48,64,71,81,85,66,71,62,70,68,74,51,60,0,0,0,0,4479733,632,0,0,2,2,0.120584005,0.000438675
5607,6037104201,California,CA,Los Angeles,9,4599,4550,3112,916,916,2384,0.657284359,0.211054395,4572,0.994129159,1458,0.32043956,138,0.057885906,99,0.108078603,1349,0.43348329,250,0.054359643,621,0.135029354,0.135384615,8.499480548,80.13953,0.252291238,30,0.4,325.3267312,1310.990368,639,0.697598253,0.081997096,0.196948544,9.040648952,0,1.14568E-07,30.23508054,9.70850217,58.49830799,18.78384115,34.17878667,10.97482854,27.60594308,8.86428459,37.46520846,12.03010052,35.49335541,11.39693733,58.49830799,18.78384115,59.15559235,18.99489555,32.86421797,10.55271975,30.23508054,9.70850217,49.95361132,16.04013402,0,0,1.971853078,0.633163185,82,76,98,62,49,70,93,48,49,11,46,89,52,42,57,54,89,90,50,46,76,0,3,67,67,94,90,71,71,81,78,83,81,74,74,94,91,94,90,68,70,65,66,88,86,0,0,6,5,1090097,0,0,0,6,5,0.045096812,0.000106731
5608,6037104203,California,CA,Los Angeles,9,5178,5154,3235,1125,1145,2478,0.738495587,0.274182372,5089,0.982811896,2547,0.494179278,178,0.071832123,250,0.222222222,1374,0.424729521,392,0.075704905,477,0.09212051,0.157948718,8.564540274,79.86141,0.258532905,30,0.4,346.4376854,509.4527245,495,0.43231441,0.088313804,0.237590778,8.726443739,0,5.67715E-08,34.70929261,12.8865715,65.72610727,24.40223114,39.8787617,14.80584809,31.01681465,11.51565962,42.09424846,15.6283952,40.6172573,15.08003048,53.91017788,20.01531318,50.95619553,18.91858369,38.40177054,14.25748336,39.14026613,14.53166574,55.38716905,20.56367793,0,0,1.476991175,0.548364745,92,90,95,85,63,91,93,76,23,27,47,89,54,42,57,55,73,69,52,53,75,0,2,71,76,97,96,77,81,87,87,87,89,79,84,92,92,88,90,75,81,75,80,91,92,0,0,4,5,707989,0,0,1,6,10,0.033603957,6.93131E-05
5609,6037104204,California,CA,Los Angeles,9,3749,3410,2340,731,761,1556,0.669891365,0.224367293,3421,0.912510003,1457,0.427272727,83,0.053341902,54,0.073871409,754,0.322222222,273,0.072819419,378,0.100826887,0.245128205,8.467672329,80.6102,0.171671214,30,0.3,331.5382586,1760.654792,120,0.157687254,0.087183916,0.221161901,6.34842488,0,4.60615E-08,30.14511142,10.09652819,60.29022285,20.19305639,20.09674095,6.73101879,28.13543733,9.423426306,11.38815321,3.814243981,36.17413371,12.11583383,61.63000558,20.64179097,27.46554596,9.199059021,34.83435098,11.66709925,34.16445961,11.44273195,42.20315599,14.13513947,0,0,1.33978273,0.448734586,84,80,83,77,43,56,84,73,28,97,45,90,30,42,17,54,92,41,52,51,63,0,2,67,68,95,92,50,53,82,80,54,52,74,76,95,93,63,63,71,74,70,72,81,82,0,0,4,4,2660594,3735,0,0,4,4,0.092338388,0.000260872
5610,6037104310,California,CA,Los Angeles,9,4875,4842,3295,942,971,2651,0.638852731,0.223914746,4779,0.980307692,1440,0.29739777,173,0.065258393,110,0.116772824,1430,0.433990895,225,0.046153846,554,0.113641026,0.206153846,8.586127671,79.45541,0.260138988,30,0.4,342.4421517,1152.268144,627,0.645726056,0.082976878,0.212745982,12.18345606,0,3.50664E-07,30.66493108,10.74790779,56.21904032,19.70449761,34.49804747,12.09139628,26.8318147,9.404419332,36.41460567,12.76314052,35.1369002,12.31531101,55.58018759,19.48058286,55.58018759,19.48058286,31.94263655,11.19573728,31.30378381,10.97182253,54.94133486,19.25666812,0,0,1.916558193,0.671744237,79,79,95,58,57,72,93,36,36,80,48,88,54,42,57,55,87,87,50,49,86,0,3,67,70,93,92,71,75,79,80,82,83,73,77,93,92,92,90,67,72,66,70,91,91,0,0,6,6,1508621,0,0,3,5,6,0.057997675,0.000147692
5611,6037104321,California,CA,Los Angeles,9,3115,3115,2206,924,960,1408,0.693900482,0.298948896,3085,0.990369181,1238,0.397431782,127,0.090198864,338,0.365800866,1012,0.458748867,79,0.025361156,477,0.153130016,0.182564103,8.618287945,79.3314,0.260724263,30,0.4,353.6060152,224.6855143,687,0.715625,0.091365914,0.439567086,9.867480733,0,6.16652E-08,33.30722311,14.34954701,61.06324238,26.30750286,37.47062603,16.14324038,29.14382024,12.55585363,39.55232747,17.04008707,38.16452648,16.44218928,34.69502408,14.9474448,63.14494382,27.20434954,37.470626,16.14324039,46.49133226,20.02957604,54.81813804,23.61696279,0,0,1.387800963,0.597897792,87,93,97,73,77,97,95,11,59,58,48,88,54,42,57,55,50,91,54,67,79,0,2,70,80,95,97,74,84,84,89,85,90,76,86,73,84,96,98,74,85,82,90,91,95,0,0,4,5,519857,0,0,0,6,11,0.032544429,5.08903E-05
5612,6037104322,California,CA,Los Angeles,9,1892,1892,1261,473,473,920,0.630549683,0.233948746,1793,0.947674419,593,0.313424947,0,0,88,0.186046512,615,0.487708168,138,0.072938689,171,0.09038055,0.182564103,8.618287945,79.3314,0.260724263,30,0.4,350.3033221,1314.541555,276,0.583509514,0.087994,0.274952628,10.41051568,0,8.02718E-08,30.26638478,11.2295398,55.48837209,20.58748964,34.04968288,12.63323228,26.48308669,9.825847332,35.94133193,13.33507852,34.68023256,12.86718102,56.11892178,20.82143838,51.705074,19.18379716,32.78858351,12.16533479,35.94133192,13.33507852,51.07452431,18.94984842,0,0,1.261099366,0.467897492,78,82,89,61,0,86,96,73,22,58,48,88,54,42,57,55,89,82,52,57,81,0,2,67,72,92,93,71,76,78,81,81,84,73,79,93,93,89,90,68,75,72,77,89,91,0,0,4,4,692312,0,0,0,5,6,0.044437996,6.77744E-05
